Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Segment,City,Region,Product_ID,Product_Name,Sub_Category,Sales,Quantity,Discount,Category,Profit
776,CA-2017-104220,1/30/2017,2/5/2017,Standard Class,BV-11245,Corporate,Des Moines,Central,FUR-FU-10002597,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",Furnishings,34.58,7,0,Furniture,14.5236
1087,CA-2016-167584,8/12/2016,8/12/2016,Same Day,LC-16870,Consumer,Des Moines,Central,OFF-PA-10000029,Xerox 224,Paper,6.48,1,0,Office Supplies,3.1104
3522,CA-2016-114482,11/21/2016,11/25/2016,Second Class,DM-13345,Corporate,Des Moines,Central,OFF-PA-10003845,Xerox 1987,Paper,40.46,7,0,Office Supplies,19.8254
3523,CA-2016-114482,11/21/2016,11/25/2016,Second Class,DM-13345,Corporate,Des Moines,Central,TEC-PH-10001580,Logitech Mobile Speakerphone P710e - speaker phone,Phones,404.94,3,0,Technology,109.3338
5948,CA-2015-115924,9/14/2015,9/18/2015,Second Class,BE-11455,Home Office,Des Moines,Central,OFF-BI-10004040,Wilson Jones Impact Binders,Binders,25.9,5,0,Office Supplies,12.691
7840,US-2014-137869,3/28/2014,4/2/2014,Standard Class,CV-12295,Consumer,Des Moines,Central,OFF-EN-10001509,Poly String Tie Envelopes,Envelopes,6.12,3,0,Office Supplies,2.8764
7841,US-2014-137869,3/28/2014,4/2/2014,Standard Class,CV-12295,Consumer,Des Moines,Central,FUR-TA-10003954,Hon 94000 Series Round Tables,Tables,1184.72,4,0,Furniture,106.6248
112,CA-2016-128867,11/3/2016,11/10/2016,Standard Class,CL-12565,Consumer,Urbandale,Central,OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Art,75.96,2,0,Office Supplies,22.788
113,CA-2016-128867,11/3/2016,11/10/2016,Standard Class,CL-12565,Consumer,Urbandale,Central,OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",Binders,27.24,6,0,Office Supplies,13.3476
4227,CA-2017-120327,11/11/2017,11/16/2017,Standard Class,WB-21850,Consumer,Urbandale,Central,OFF-FA-10004854,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",Fasteners,45.92,4,0,Office Supplies,21.5824
1281,CA-2016-160815,9/5/2016,9/6/2016,First Class,TR-21325,Consumer,Cedar Rapids,Central,TEC-PH-10003505,Geemarc AmpliPOWER60,Phones,278.4,3,0,Technology,80.736
8716,CA-2017-121678,11/16/2017,11/20/2017,Second Class,BM-11650,Corporate,Elyria,East,OFF-BI-10002949,Prestige Round Ring Binders,Binders,1.824,1,0.7,Office Supplies,-1.3984
220,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,Consumer,Dublin,East,OFF-FA-10000585,OIC Bulk Pack Metal Binder Clips,Fasteners,5.584,2,0.2,Office Supplies,1.8148
221,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,Consumer,Dublin,East,OFF-PA-10004000,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Paper,22.704,6,0.2,Office Supplies,8.2302
222,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,Consumer,Dublin,East,OFF-BI-10002852,Ibico Standard Transparent Covers,Binders,19.776,4,0.7,Office Supplies,-13.8432
223,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,Consumer,Dublin,East,FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furnishings,72.704,4,0.2,Furniture,19.0848
224,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,Consumer,Dublin,East,TEC-MA-10001148,Swingline SM12-08 MicroCut Jam Free Shredder,Machines,479.988,4,0.7,Technology,-383.9904
225,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,Consumer,Dublin,East,OFF-AR-10001958,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Art,27.168,2,0.2,Office Supplies,2.7168
1728,US-2017-164056,4/29/2017,5/4/2017,Second Class,FM-14215,Corporate,Dublin,East,FUR-TA-10001307,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Tables,1048.35,5,0.4,Furniture,-69.89
3657,CA-2017-158036,9/8/2017,9/14/2017,Standard Class,DB-13555,Corporate,Dublin,East,TEC-AC-10002558,Imation Swivel Flash Drive USB flash drive - 8 GB,Accessories,9.096,1,0.2,Technology,1.7055
4838,CA-2017-106831,6/1/2017,6/3/2017,First Class,FH-14350,Consumer,Dublin,East,OFF-BI-10003429,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",Binders,3.798,2,0.7,Office Supplies,-2.6586
4839,CA-2017-106831,6/1/2017,6/3/2017,First Class,FH-14350,Consumer,Dublin,East,OFF-PA-10000682,Xerox 1924,Paper,27.744,6,0.2,Office Supplies,10.0572
4840,CA-2017-106831,6/1/2017,6/3/2017,First Class,FH-14350,Consumer,Dublin,East,TEC-PH-10001700,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Phones,158.376,4,0.4,Technology,-34.3148
6745,CA-2017-111269,6/16/2017,6/18/2017,Second Class,CS-12355,Consumer,Dublin,East,TEC-AC-10001606,Logitech Wireless Performance Mouse MX for PC and Mac,Accessories,479.952,6,0.2,Technology,107.9892
6746,CA-2017-111269,6/16/2017,6/18/2017,Second Class,CS-12355,Consumer,Dublin,East,OFF-AR-10001427,Newell 330,Art,23.92,5,0.2,Office Supplies,1.794
849,CA-2017-107503,1/1/2017,1/6/2017,Standard Class,GA-14725,Consumer,Lorain,East,FUR-FU-10003878,"Linden 10"" Round Wall Clock, Black",Furnishings,48.896,4,0.2,Furniture,8.5568
1331,CA-2017-127705,6/2/2017,6/6/2017,Standard Class,AB-10255,Home Office,Lorain,East,TEC-PH-10000347,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,Phones,2.97,1,0.4,Technology,-0.6435
1332,CA-2017-127705,6/2/2017,6/6/2017,Standard Class,AB-10255,Home Office,Lorain,East,OFF-ST-10004507,Advantus Rolling Storage Box,Storage,27.44,2,0.2,Office Supplies,2.401
2380,CA-2016-118052,5/6/2016,5/10/2016,Standard Class,BE-11455,Home Office,Lorain,East,OFF-FA-10004248,Advantus T-Pin Paper Clips,Fasteners,7.216,2,0.2,Office Supplies,1.7138
2381,CA-2016-118052,5/6/2016,5/10/2016,Standard Class,BE-11455,Home Office,Lorain,East,OFF-PA-10002581,Xerox 1951,Paper,49.568,2,0.2,Office Supplies,15.49
2382,CA-2016-118052,5/6/2016,5/10/2016,Standard Class,BE-11455,Home Office,Lorain,East,FUR-FU-10004848,DAX Solid Wood Frames,Furnishings,54.712,7,0.2,Furniture,11.6263
4035,US-2016-108777,12/12/2016,12/12/2016,Same Day,JM-15655,Corporate,Lorain,East,OFF-BI-10003982,Wilson Jones Century Plastic Molded Ring Binders,Binders,18.693,3,0.7,Office Supplies,-14.3313
4036,US-2016-108777,12/12/2016,12/12/2016,Same Day,JM-15655,Corporate,Lorain,East,TEC-AC-10002567,Logitech G602 Wireless Gaming Mouse,Accessories,383.952,6,0.2,Technology,76.7904
6640,CA-2014-108609,10/31/2014,11/2/2014,Second Class,AJ-10780,Corporate,Lorain,East,FUR-TA-10003954,Hon 94000 Series Round Tables,Tables,1421.664,8,0.4,Furniture,-734.5264
201,CA-2017-105074,6/24/2017,6/29/2017,Standard Class,MB-17305,Consumer,Akron,East,OFF-PA-10002666,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Paper,21.744,3,0.2,Office Supplies,6.795
454,CA-2017-147277,10/20/2017,10/24/2017,Standard Class,EB-13705,Corporate,Akron,East,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Tables,284.364,2,0.4,Furniture,-75.8304
455,CA-2017-147277,10/20/2017,10/24/2017,Standard Class,EB-13705,Corporate,Akron,East,OFF-ST-10000142,Deluxe Rollaway Locking File with Drawer,Storage,665.408,2,0.2,Office Supplies,66.5408
3201,CA-2014-164224,5/18/2014,5/20/2014,Second Class,TT-21070,Consumer,Akron,East,FUR-FU-10000308,Deflect-o Glass Clear Studded Chair Mats,Furnishings,149.232,3,0.2,Furniture,3.7308
3202,CA-2014-164224,5/18/2014,5/20/2014,Second Class,TT-21070,Consumer,Akron,East,OFF-PA-10001526,Xerox 1949,Paper,15.936,4,0.2,Office Supplies,5.7768
3561,CA-2017-109757,9/4/2017,9/9/2017,Second Class,MD-17350,Consumer,Akron,East,OFF-AR-10002335,DIXON Oriole Pencils,Art,8.256,4,0.2,Office Supplies,0.6192
3562,CA-2017-109757,9/4/2017,9/9/2017,Second Class,MD-17350,Consumer,Akron,East,OFF-BI-10004001,GBC Recycled VeloBinder Covers,Binders,25.56,5,0.7,Office Supplies,-20.448
3563,CA-2017-109757,9/4/2017,9/9/2017,Second Class,MD-17350,Consumer,Akron,East,OFF-BI-10001634,Wilson Jones Active Use Binders,Binders,4.368,2,0.7,Office Supplies,-3.0576
3564,CA-2017-109757,9/4/2017,9/9/2017,Second Class,MD-17350,Consumer,Akron,East,OFF-PA-10000007,"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""",Paper,11.52,4,0.2,Office Supplies,3.744
4093,CA-2017-166576,5/16/2017,5/18/2017,First Class,JM-15865,Consumer,Akron,East,OFF-ST-10002574,"SAFCO Commercial Wire Shelving, Black",Storage,221.024,2,0.2,Office Supplies,-55.256
4322,US-2015-147662,2/14/2015,2/19/2015,Standard Class,KB-16315,Consumer,Akron,East,OFF-BI-10001658,GBC Standard Therm-A-Bind Covers,Binders,14.952,2,0.7,Office Supplies,-11.9616
4323,US-2015-147662,2/14/2015,2/19/2015,Standard Class,KB-16315,Consumer,Akron,East,TEC-PH-10002834,Google Nexus 5,Phones,323.982,3,0.4,Technology,-80.9955
4324,US-2015-147662,2/14/2015,2/19/2015,Standard Class,KB-16315,Consumer,Akron,East,OFF-BI-10002160,Acco Hanging Data Binders,Binders,2.286,2,0.7,Office Supplies,-1.6764
4325,US-2015-147662,2/14/2015,2/19/2015,Standard Class,KB-16315,Consumer,Akron,East,OFF-AR-10004999,Newell 315,Art,14.352,3,0.2,Office Supplies,0.897
4326,US-2015-147662,2/14/2015,2/19/2015,Standard Class,KB-16315,Consumer,Akron,East,TEC-AC-10003280,Belkin F8E887 USB Wired Ergonomic Keyboard,Accessories,71.976,3,0.2,Technology,0.8997
5370,CA-2017-147403,9/10/2017,9/13/2017,First Class,KH-16630,Corporate,Akron,East,OFF-PA-10003302,Xerox 1906,Paper,85.056,3,0.2,Office Supplies,28.7064
8390,CA-2016-102596,12/27/2016,12/30/2016,First Class,RD-19810,Home Office,Akron,East,OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",Fasteners,17.184,6,0.2,Office Supplies,6.2292
8691,CA-2016-136770,8/14/2016,8/18/2016,Standard Class,SP-20650,Corporate,Akron,East,TEC-PH-10003580,Cisco IP Phone 7961G-GE VoIP phone,Phones,259.896,2,0.4,Technology,-56.3108
8692,CA-2016-136770,8/14/2016,8/18/2016,Standard Class,SP-20650,Corporate,Akron,East,TEC-PH-10001530,Plantronics Voyager Pro Legend,Phones,247.188,2,0.4,Technology,-49.4376
8693,CA-2016-136770,8/14/2016,8/18/2016,Standard Class,SP-20650,Corporate,Akron,East,TEC-AC-10000420,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,Accessories,279.96,5,0.2,Technology,48.993
9922,CA-2014-111360,11/24/2014,11/30/2014,Standard Class,AT-10435,Home Office,Akron,East,OFF-BI-10003350,Acco Expandable Hanging Binders,Binders,5.742,3,0.7,Office Supplies,-4.5936
4472,CA-2017-121300,9/29/2017,9/29/2017,Same Day,MG-17680,Home Office,Mentor,East,FUR-CH-10003774,"Global Wood Trimmed Manager's Task Chair, Khaki",Chairs,63.686,1,0.3,Furniture,-15.4666
4473,CA-2017-121300,9/29/2017,9/29/2017,Same Day,MG-17680,Home Office,Mentor,East,TEC-AC-10004571,Logitech G700s Rechargeable Gaming Mouse,Accessories,239.976,3,0.2,Technology,65.9934
4474,CA-2017-121300,9/29/2017,9/29/2017,Same Day,MG-17680,Home Office,Mentor,East,FUR-TA-10004442,Riverside Furniture Stanwyck Manor Table Series,Tables,344.22,2,0.4,Furniture,-189.321
4475,CA-2017-121300,9/29/2017,9/29/2017,Same Day,MG-17680,Home Office,Mentor,East,OFF-PA-10002787,Xerox 227,Paper,15.552,3,0.2,Office Supplies,5.4432
4476,CA-2017-121300,9/29/2017,9/29/2017,Same Day,MG-17680,Home Office,Mentor,East,FUR-FU-10004586,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Furnishings,21.248,4,0.2,Furniture,7.4368
4477,CA-2017-121300,9/29/2017,9/29/2017,Same Day,MG-17680,Home Office,Mentor,East,OFF-PA-10002606,Xerox 1928,Paper,8.448,2,0.2,Office Supplies,2.64
2222,CA-2015-131884,12/6/2015,12/6/2015,Same Day,DK-13375,Consumer,Marion,East,TEC-PH-10001578,Polycom SoundStation2 EX Conference phone,Phones,485.94,2,0.4,Technology,-89.089
2223,CA-2015-131884,12/6/2015,12/6/2015,Same Day,DK-13375,Consumer,Marion,East,OFF-AR-10004078,Newell 312,Art,37.376,8,0.2,Office Supplies,4.672
2224,CA-2015-131884,12/6/2015,12/6/2015,Same Day,DK-13375,Consumer,Marion,East,FUR-CH-10004860,Global Low Back Tilter Chair,Chairs,70.686,1,0.3,Furniture,-24.2352
4529,CA-2017-152856,9/8/2017,9/10/2017,Second Class,RS-19765,Corporate,Marion,East,TEC-AC-10004864,Memorex Micro Travel Drive 32 GB,Accessories,116.832,4,0.2,Technology,33.5892
5497,CA-2017-117821,6/12/2017,6/16/2017,Standard Class,HG-15025,Consumer,Marion,East,TEC-AC-10004469,Microsoft Sculpt Comfort Mouse,Accessories,63.92,2,0.2,Technology,19.176
5703,US-2014-123519,12/14/2014,12/21/2014,Standard Class,SS-20875,Consumer,Marion,East,OFF-AR-10003829,Newell 35,Art,2.624,1,0.2,Office Supplies,0.2952
5704,US-2014-123519,12/14/2014,12/21/2014,Standard Class,SS-20875,Consumer,Marion,East,FUR-TA-10002645,Hon Rectangular Conference Tables,Tables,136.53,1,0.4,Furniture,-52.3365
5705,US-2014-123519,12/14/2014,12/21/2014,Standard Class,SS-20875,Consumer,Marion,East,TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Accessories,263.96,1,0.2,Technology,42.8935
6205,CA-2017-145660,12/1/2017,12/3/2017,First Class,MG-17650,Home Office,Marion,East,FUR-FU-10002885,Magna Visual Magnetic Picture Hangers,Furnishings,7.712,2,0.2,Furniture,1.7352
6209,CA-2017-148138,9/29/2017,10/3/2017,Standard Class,ME-18010,Corporate,Marion,East,OFF-ST-10000563,Fellowes Bankers Box Stor/Drawer Steel Plus,Storage,51.168,2,0.2,Office Supplies,-6.396
6282,CA-2015-116484,11/20/2015,11/26/2015,Standard Class,JK-15205,Consumer,Marion,East,FUR-FU-10002874,Ultra Commercial Grade Dual Valve Door Closer,Furnishings,63.824,2,0.2,Furniture,9.5736
6283,CA-2015-116484,11/20/2015,11/26/2015,Standard Class,JK-15205,Consumer,Marion,East,OFF-ST-10003994,"Belkin 19"" Center-Weighted Shelf, Gray",Storage,141.552,3,0.2,Office Supplies,-26.541
7650,CA-2015-101889,12/27/2015,12/31/2015,Standard Class,DB-13120,Corporate,Marion,East,FUR-TA-10004154,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Tables,1548.99,9,0.4,Furniture,-464.697
7651,CA-2015-101889,12/27/2015,12/31/2015,Standard Class,DB-13120,Corporate,Marion,East,OFF-EN-10003286,Staple envelope,Envelopes,19.872,3,0.2,Office Supplies,6.7068
147,CA-2014-110072,10/22/2014,10/28/2014,Standard Class,MG-17680,Home Office,Newark,East,FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",Furnishings,93.888,4,0.2,Furniture,12.9096
178,US-2015-101511,11/21/2015,11/23/2015,Second Class,JE-15745,Consumer,Newark,East,FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",Chairs,396.802,7,0.3,Furniture,-11.3372
179,US-2015-101511,11/21/2015,11/23/2015,Second Class,JE-15745,Consumer,Newark,East,OFF-SU-10002189,Acme Rosewood Handle Letter Opener,Supplies,15.88,5,0.2,Office Supplies,-3.7715
513,CA-2016-106341,10/20/2016,10/23/2016,First Class,LF-17185,Consumer,Newark,East,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Art,7.152,3,0.2,Office Supplies,0.7152
718,CA-2017-108910,9/24/2017,9/29/2017,Standard Class,KC-16540,Consumer,Newark,East,FUR-FU-10002253,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",Furnishings,103.056,3,0.2,Furniture,24.4758
1813,US-2017-161193,11/20/2017,11/26/2017,Standard Class,BT-11680,Consumer,Newark,East,FUR-FU-10001861,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",Furnishings,77.6,5,0.2,Furniture,28.13
1814,US-2017-161193,11/20/2017,11/26/2017,Standard Class,BT-11680,Consumer,Newark,East,FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Furnishings,4.656,2,0.2,Furniture,1.5714
1866,US-2017-116659,11/12/2017,11/12/2017,Same Day,NG-18355,Corporate,Newark,East,TEC-PH-10002824,Jabra SPEAK 410 Multidevice Speakerphone,Phones,370.782,3,0.4,Technology,-92.6955
2570,CA-2017-134404,12/27/2017,12/27/2017,Same Day,DR-12880,Corporate,Newark,East,TEC-PH-10000576,AT&T 1080 Corded phone,Phones,164.388,2,0.4,Technology,-35.6174
2571,CA-2017-134404,12/27/2017,12/27/2017,Same Day,DR-12880,Corporate,Newark,East,OFF-AR-10004441,BIC Brite Liner Highlighters,Art,13.248,4,0.2,Office Supplies,3.6432
2742,CA-2016-165015,2/25/2016,2/27/2016,Second Class,BD-11725,Consumer,Newark,East,OFF-EN-10003134,Staple envelope,Envelopes,46.72,5,0.2,Office Supplies,17.52
3061,CA-2016-144554,11/7/2016,11/12/2016,Standard Class,DM-13345,Corporate,Newark,East,TEC-AC-10002800,Plantronics Audio 478 Stereo USB Headset,Accessories,119.976,3,0.2,Technology,22.4955
3151,CA-2015-147830,12/15/2015,12/18/2015,First Class,NF-18385,Consumer,Newark,East,TEC-AC-10002049,Plantronics Savi W720 Multi-Device Wireless Headset System,Accessories,2025.36,6,0.2,Technology,607.608
3152,CA-2015-147830,12/15/2015,12/18/2015,First Class,NF-18385,Consumer,Newark,East,TEC-MA-10000418,Cubify CubeX 3D Printer Double Head Print,Machines,1799.994,2,0.7,Technology,-2639.9912
3153,CA-2015-147830,12/15/2015,12/18/2015,First Class,NF-18385,Consumer,Newark,East,TEC-PH-10004908,Panasonic KX TS3282W Corded phone,Phones,101.988,2,0.4,Technology,-16.998
3154,CA-2015-147830,12/15/2015,12/18/2015,First Class,NF-18385,Consumer,Newark,East,FUR-FU-10004091,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",Furnishings,262.864,7,0.2,Furniture,69.0018
3609,CA-2014-140228,4/28/2014,5/3/2014,Standard Class,GB-14530,Corporate,Newark,East,OFF-LA-10001613,Avery File Folder Labels,Labels,6.912,3,0.2,Office Supplies,2.5056
3610,CA-2014-140228,4/28/2014,5/3/2014,Standard Class,GB-14530,Corporate,Newark,East,OFF-ST-10002214,X-Rack File for Hanging Folders,Storage,27.096,3,0.2,Office Supplies,2.0322
3611,CA-2014-140228,4/28/2014,5/3/2014,Standard Class,GB-14530,Corporate,Newark,East,OFF-ST-10001128,"Carina Mini System Audio Rack, Model AR050B",Storage,177.568,2,0.2,Office Supplies,-37.7332
3758,CA-2016-111283,2/29/2016,3/4/2016,Standard Class,LC-16870,Consumer,Newark,East,OFF-AR-10001615,Newell 34,Art,111.104,7,0.2,Office Supplies,8.3328
5664,CA-2016-141957,7/21/2016,7/21/2016,Same Day,JG-15310,Corporate,Newark,East,OFF-AR-10000914,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Art,18.656,2,0.2,Office Supplies,1.3992
5665,CA-2016-141957,7/21/2016,7/21/2016,Same Day,JG-15310,Corporate,Newark,East,OFF-BI-10001116,"Wilson Jones 1"" Hanging DublLock Ring Binders",Binders,11.088,7,0.7,Office Supplies,-8.1312
5666,CA-2016-141957,7/21/2016,7/21/2016,Same Day,JG-15310,Corporate,Newark,East,OFF-ST-10002276,Safco Steel Mobile File Cart,Storage,66.688,1,0.2,Office Supplies,4.168
5667,CA-2016-141957,7/21/2016,7/21/2016,Same Day,JG-15310,Corporate,Newark,East,OFF-ST-10004340,"Fellowes Mobile File Cart, Black",Storage,99.488,2,0.2,Office Supplies,8.7052
7105,CA-2017-128944,6/19/2017,6/21/2017,Second Class,KH-16330,Corporate,Newark,East,FUR-CH-10000785,Global Ergonomic Managers Chair,Chairs,760.116,6,0.3,Furniture,-43.4352
7106,CA-2017-128944,6/19/2017,6/21/2017,Second Class,KH-16330,Corporate,Newark,East,FUR-FU-10004909,Contemporary Wood/Metal Frame,Furnishings,38.784,3,0.2,Furniture,7.272
7107,CA-2017-128944,6/19/2017,6/21/2017,Second Class,KH-16330,Corporate,Newark,East,TEC-AC-10001553,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",Accessories,122.328,9,0.2,Technology,1.5291
9559,CA-2016-129280,5/3/2016,5/5/2016,First Class,SM-20905,Consumer,Newark,East,TEC-AC-10003832,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,Accessories,132.52,5,0.2,Technology,34.7865
9560,CA-2016-129280,5/3/2016,5/5/2016,First Class,SM-20905,Consumer,Newark,East,OFF-ST-10002554,Tennsco Industrial Shelving,Storage,195.64,5,0.2,Office Supplies,-44.019
9561,CA-2016-129280,5/3/2016,5/5/2016,First Class,SM-20905,Consumer,Newark,East,FUR-FU-10001876,"Computer Room Manger, 14""",Furnishings,51.968,2,0.2,Furniture,10.3936
9562,CA-2016-129280,5/3/2016,5/5/2016,First Class,SM-20905,Consumer,Newark,East,TEC-AC-10002637,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),Accessories,431.976,3,0.2,Technology,-75.5958
9563,CA-2016-129280,5/3/2016,5/5/2016,First Class,SM-20905,Consumer,Newark,East,TEC-MA-10003589,Cisco 8961 IP Phone Charcoal,Machines,224.937,3,0.7,Technology,-164.9538
9564,CA-2016-129280,5/3/2016,5/5/2016,First Class,SM-20905,Consumer,Newark,East,OFF-LA-10000081,Avery 496,Labels,6,2,0.2,Office Supplies,2.1
9629,CA-2014-118192,1/13/2014,1/18/2014,Standard Class,MM-17920,Consumer,Newark,East,OFF-PA-10002947,Xerox 1923,Paper,37.408,7,0.2,Office Supplies,13.0928
9630,CA-2014-118192,1/13/2014,1/18/2014,Standard Class,MM-17920,Consumer,Newark,East,OFF-BI-10003476,Avery Metallic Poly Binders,Binders,3.438,2,0.7,Office Supplies,-2.5212
2785,CA-2016-116974,10/9/2016,10/15/2016,Standard Class,MP-17965,Corporate,Troy,East,TEC-PH-10004897,Mediabridge Sport Armband iPhone 5s,Phones,23.976,4,0.4,Technology,-15.5844
3045,CA-2015-135174,4/30/2015,5/2/2015,Second Class,BP-11230,Consumer,Troy,East,TEC-PH-10001530,Cisco Unified IP Phone 7945G VoIP phone,Phones,1022.97,5,0.4,Technology,-255.7425
3673,CA-2016-104969,4/8/2016,4/14/2016,Standard Class,EH-14125,Home Office,Troy,East,OFF-EN-10002312,#10 Self-Seal White Envelopes,Envelopes,8.872,1,0.2,Office Supplies,3.2161
